edad,ingresos_mensuales,antiguedad_meses,gasto_anual,visitas_web_mes,puntuacion_satisfaccion,region,canal_preferido,estado_civil,tipo_membresia,segmento_cliente
41,4710.1,5,7463.75,7,,Norte,,Casado,Plata,Muy_bajo
24,2500,0,5840.77,13,6.3,Centro,App_movil,Soltero,Basica,Muy_bajo
18,4260.51,2,7845.73,14,8.9,Sur,App_movil,Casado,Basica,Medio
37,2741.88,56,2755.31,4,7.6,Norte,Telefono,Casado,Basica,Bajo
38,2500,10,4409.38,4,6.6,Sureste,Tienda,Casado,Oro,Bajo
44,2843.62,44,5869.37,13,4.3,Sur,App_movil,Casado,Basica,Muy_bajo
26,2500,18,3293.59,10,4.9,Norte,App_movil,Soltero,Basica,Muy_bajo
66,5504.25,91,7558.96,13,4.2,Sureste,Telefono,Union_libre,Basica,Medio
29,2500,12,11320.5,15,8.5,Norte,Tienda,Divorciado,Platino,Alto
35,,12,4853.24,9,6.7,Sur,App_movil,Casado,Plata,Muy_bajo
31,2500,15,5144.35,12,4.2,Sureste,Web,Casado,Oro,Medio
29,3864.56,8,6259.65,6,5.7,Sureste,Tienda,Divorciado,Plata,Muy_bajo
18,,4,2904.74,6,7.3,Sureste,Tienda,Casado,Basica,Muy_bajo
18,2500,0,6124.9,8,9.5,Sureste,App_movil,Soltero,Oro,Medio
56,10814.96,95,12800.24,12,6.5,Sur,Web,Casado,Basica,Medio
34,2506.99,19,3379.71,6,5.3,Centro,Web,Viudo,Basica,Muy_bajo
33,3479.13,37,5675.19,15,8.6,Occidente,App_movil,Soltero,Basica,Bajo
35,4083.92,43,6148.16,11,5.4,Sureste,App_movil,Soltero,Basica,Bajo
46,2500,65,5363.07,9,6.8,Centro,Web,Divorciado,Basica,Muy_bajo
35,3394.11,22,9011.23,7,9,Norte,App_movil,Soltero,Plata,Bajo
30,4772.02,8,7369.19,5,7.1,Occidente,Web,Soltero,,Bajo
47,6789.11,0,11122.26,4,3.7,Occidente,Web,Casado,Basica,Muy_bajo
20,2500,14,4546.18,3,9.7,,Web,Casado,Plata,Muy_bajo
42,4552.35,15,4975.25,5,7.3,Occidente,Telefono,Union_libre,Basica,Bajo
44,2500,79,4822.5,6,7.7,Occidente,Tienda,Soltero,Basica,Medio
24,4599.42,9,7183.17,13,5.5,Occidente,Tienda,Casado,Plata,Bajo
23,7980.09,11,19429.42,20,5.8,Sureste,Web,Soltero,Oro,Premium
35,2515.18,25,3775.98,7,5.6,Sur,App_movil,Union_libre,Basica,Bajo
24,2500,5,5447.89,10,6.8,Centro,App_movil,Casado,Plata,Bajo
54,4213.37,1,7155.93,19,10,Norte,Web,Casado,Basica,Muy_bajo
38,6508.07,66,7566.95,12,5.1,Centro,Web,Casado,Basica,Medio
32,2984.48,0,3810.9,7,4.4,Norte,Web,Soltero,Basica,Muy_bajo
57,2500,79,4383.25,13,8.4,Occidente,App_movil,Soltero,Basica,Bajo
40,2729.63,17,,2,3.5,Centro,App_movil,Soltero,Plata,Muy_bajo
34,2500,34,5293.75,10,6.9,Sur,App_movil,Casado,Plata,Bajo
37,5670.03,29,8384.55,8,6.8,Centro,Tienda,Casado,Plata,Bajo
,2500,24,3464.08,13,8.1,Sur,Tienda,Casado,Basica,Muy_bajo
54,7080.54,26,10965.5,18,8.5,Centro,Web,Soltero,Plata,Medio
39,3473.18,33,5776.83,9,6.9,Occidente,Web,Soltero,Plata,Muy_bajo
31,2500,23,5562.28,13,8.3,Centro,App_movil,Soltero,Plata,Muy_bajo
41,11285.17,54,22536.39,17,7.5,Sur,App_movil,Casado,Plata,Alto
45,2500,51,2852.46,3,8,Occidente,App_movil,Soltero,Basica,Muy_bajo
41,3022.71,24,4119.89,3,6.1,Sur,App_movil,Soltero,Basica,Muy_bajo
44,3159.85,52,10351.21,11,7.1,Sureste,Tienda,Casado,Oro,Alto
